
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"March","2019","Unknown","Unknown",38,61,79,38,3
"March","2020","Straight and level","Clear and sunny",2663,4863,6763,3578,34
"March","2020","Straight and level","Overcast, cloudy but no precipitation",293,506,737,399,5
"March","2020","Straight and level","Raining",250,427,595,323,2
"March","2020","Straight and level","Snowing, not including drifting snow",327,582,780,443,3
"March","2020","Straight and level","Freezing rain, sleet, hail",33,52,60,45,1
"March","2020","Straight and level","Visibility limitation",41,66,91,53,0
"March","2020","Straight and level","Strong wind",39,61,77,53,0
"March","2020","Straight and level","Other",7,10,16,8,0
"March","2020","Straight and level","Unknown",48,78,102,57,0
"March","2020","Straight with gradient","Clear and sunny",274,493,726,360,7
"March","2020","Straight with gradient","Overcast, cloudy but no precipitation",49,87,148,64,1
"March","2020","Straight with gradient","Raining",22,41,60,26,5
"March","2020","Straight with gradient","Snowing, not including drifting snow",48,72,109,66,0
"March","2020","Straight with gradient","Freezing rain, sleet, hail",4,6,7,5,0
"March","2020","Straight with gradient","Visibility limitation",5,11,14,7,0
"March","2020","Straight with gradient","Strong wind",0,0,0,0,0
"March","2020","Straight with gradient","Other",0,0,0,0,0
"March","2020","Straight with gradient","Unknown",3,4,11,3,0
"March","2020","Curved and level","Clear and sunny",220,317,421,274,8
"March","2020","Curved and level","Overcast, cloudy but no precipitation",43,62,79,61,0
"March","2020","Curved and level","Raining",20,30,41,25,1
"March","2020","Curved and level","Snowing, not including drifting snow",66,88,115,83,0
"March","2020","Curved and level","Freezing rain, sleet, hail",5,7,13,8,0
"March","2020","Curved and level","Visibility limitation",7,8,9,8,0
"March","2020","Curved and level","Strong wind",6,10,12,9,1
"March","2020","Curved and level","Other",2,4,12,3,0
"March","2020","Curved and level","Unknown",7,11,15,9,0
"March","2020","Curved with gradient","Clear and sunny",140,217,319,198,4
"March","2020","Curved with gradient","Overcast, cloudy but no precipitation",38,52,83,54,0
"March","2020","Curved with gradient","Raining",10,13,17,11,0
"March","2020","Curved with gradient","Snowing, not including drifting snow",36,49,77,46,1
"March","2020","Curved with gradient","Freezing rain, sleet, hail",2,2,4,2,0
"March","2020","Curved with gradient","Visibility limitation",5,6,6,5,0
"March","2020","Curved with gradient","Strong wind",0,0,0,0,0
"March","2020","Curved with gradient","Other",0,0,0,0,0
"March","2020","Curved with gradient","Unknown",4,5,7,5,0
"March","2020","Top of hill or gradient","Clear and sunny",36,67,100,50,1
"March","2020","Top of hill or gradient","Overcast, cloudy but no precipitation",11,18,39,20,0
"March","2020","Top of hill or gradient","Raining",2,2,3,2,0
"March","2020","Top of hill or gradient","Snowing, not including drifting snow",12,20,23,15,0
"March","2020","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"March","2020","Top of hill or gradient","Visibility limitation",1,2,2,1,0
"March","2020","Top of hill or gradient","Strong wind",1,2,4,4,0
"March","2020","Top of hill or gradient","Other",0,0,0,0,0
"March","2020","Top of hill or gradient","Unknown",2,3,3,2,0
"March","2020","Bottom of hill or gradient","Clear and sunny",33,61,89,53,1
"March","2020","Bottom of hill or gradient","Overcast, cloudy but no precipitation",11,17,26,15,2
"March","2020","Bottom of hill or gradient","Raining",2,3,3,2,0
"March","2020","Bottom of hill or gradient","Snowing, not including drifting snow",10,22,27,11,3
"March","2020","Bottom of hill or gradient","Freezing rain, sleet, hail",2,2,3,3,0
"March","2020","Bottom of hill or gradient","Visibility limitation",0,0,0,0,0
"March","2020","Bottom of hill or gradient","Strong wind",2,3,4,3,0
"March","2020","Bottom of hill or gradient","Other",0,0,0,0,0
"March","2020","Bottom of hill or gradient","Unknown",1,1,2,0,2
"March","2020","Other","Clear and sunny",8,13,18,14,0
"March","2020","Other","Overcast, cloudy but no precipitation",1,1,2,1,0
"March","2020","Other","Raining",0,0,0,0,0
"March","2020","Other","Snowing, not including drifting snow",1,2,2,1,0
"March","2020","Other","Freezing rain, sleet, hail",0,0,0,0,0
"March","2020","Other","Visibility limitation",0,0,0,0,0
"March","2020","Other","Strong wind",0,0,0,0,0
"March","2020","Other","Other",1,1,2,2,0
"March","2020","Other","Unknown",0,0,0,0,0
"March","2020","Unknown","Clear and sunny",197,365,543,265,0
"March","2020","Unknown","Overcast, cloudy but no precipitation",5,7,10,6,0
"March","2020","Unknown","Raining",3,5,6,3,0
"March","2020","Unknown","Snowing, not including drifting snow",33,61,78,44,0
"March","2020","Unknown","Freezing rain, sleet, hail",1,2,3,1,0
"March","2020","Unknown","Visibility limitation",1,1,1,1,0
"March","2020","Unknown","Strong wind",2,3,4,2,0
"March","2020","Unknown","Other",0,0,0,0,0
"March","2020","Unknown","Unknown",25,38,50,24,2
"March","2021","Straight and level","Clear and sunny",3126,5780,7853,4118,40
"March","2021","Straight and level","Overcast, cloudy but no precipitation",268,477,672,338,0
"March","2021","Straight and level","Raining",178,307,426,216,4
"March","2021","Straight and level","Snowing, not including drifting snow",206,384,537,282,3
"March","2021","Straight and level","Freezing rain, sleet, hail",18,34,40,22,1
"March","2021","Straight and level","Visibility limitation",46,97,119,65,3
"March","2021","Straight and level","Strong wind",43,107,138,81,0
"March","2021","Straight and level","Other",2,5,5,2,0
"March","2021","Straight and level","Unknown",37,70,87,49,0
"March","2021","Straight with gradient","Clear and sunny",325,596,866,432,8
"March","2021","Straight with gradient","Overcast, cloudy but no precipitation",40,72,110,51,1
"March","2021","Straight with gradient","Raining",14,29,45,21,0
"March","2021","Straight with gradient","Snowing, not including drifting snow",42,69,105,56,0
"March","2021","Straight with gradient","Freezing rain, sleet, hail",3,4,6,4,0
"March","2021","Straight with gradient","Visibility limitation",8,33,36,9,0
"March","2021","Straight with gradient","Strong wind",6,10,11,7,0
"March","2021","Straight with gradient","Other",0,0,0,0,0
"March","2021","Straight with gradient","Unknown",3,6,10,3,0
"March","2021","Curved and level","Clear and sunny",257,381,527,317,12
"March","2021","Curved and level","Overcast, cloudy but no precipitation",30,43,61,43,0
"March","2021","Curved and level","Raining",19,22,33,22,0
"March","2021","Curved and level","Snowing, not including drifting snow",50,77,122,57,2
"March","2021","Curved and level","Freezing rain, sleet, hail",6,18,24,11,0
"March","2021","Curved and level","Visibility limitation",7,8,15,12,0
"March","2021","Curved and level","Strong wind",6,9,13,8,0
"March","2021","Curved and level","Other",1,2,3,1,0
"March","2021","Curved and level","Unknown",6,11,12,8,0
"March","2021","Curved with gradient","Clear and sunny",130,199,293,180,4
"March","2021","Curved with gradient","Overcast, cloudy but no precipitation",30,40,60,43,0
"March","2021","Curved with gradient","Raining",5,5,9,6,0
"March","2021","Curved with gradient","Snowing, not including drifting snow",19,23,25,19,1
"March","2021","Curved with gradient","Freezing rain, sleet, hail",2,2,2,2,0
"March","2021","Curved with gradient","Visibility limitation",3,5,7,5,0
"March","2021","Curved with gradient","Strong wind",2,7,9,6,0
"March","2021","Curved with gradient","Other",0,0,0,0,0
"March","2021","Curved with gradient","Unknown",1,1,2,1,0
"March","2021","Top of hill or gradient","Clear and sunny",53,93,127,68,2
"March","2021","Top of hill or gradient","Overcast, cloudy but no precipitation",10,18,37,20,0
"March","2021","Top of hill or gradient","Raining",2,3,3,2,0
"March","2021","Top of hill or gradient","Snowing, not including drifting snow",7,13,21,12,0
"March","2021","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"March","2021","Top of hill or gradient","Visibility limitation",1,2,2,1,0
"March","2021","Top of hill or gradient","Strong wind",1,1,2,1,0
"March","2021","Top of hill or gradient","Other",0,0,0,0,0
"March","2021","Top of hill or gradient","Unknown",2,3,4,3,1
"March","2021","Bottom of hill or gradient","Clear and sunny",29,46,66,37,0
"March","2021","Bottom of hill or gradient","Overcast, cloudy but no precipitation",6,10,16,8,0
"March","2021","Bottom of hill or gradient","Raining",1,1,2,2,0
"March","2021","Bottom of hill or gradient","Snowing, not including drifting snow",12,19,35,20,0
"March","2021","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"March","2021","Bottom of hill or gradient","Visibility limitation",1,2,3,1,0
"March","2021","Bottom of hill or gradient","Strong wind",1,1,1,1,0
"March","2021","Bottom of hill or gradient","Other",1,2,3,1,0
"March","2021","Bottom of hill or gradient","Unknown",1,3,3,2,0
"March","2021","Other","Clear and sunny",8,14,15,9,0
"March","2021","Other","Overcast, cloudy but no precipitation",3,3,5,4,0
"March","2021","Other","Raining",0,0,0,0,0
"March","2021","Other","Snowing, not including drifting snow",1,2,3,1,0
"March","2021","Other","Freezing rain, sleet, hail",0,0,0,0,0
"March","2021","Other","Visibility limitation",1,2,2,1,0
"March","2021","Other","Strong wind",0,0,0,0,0
"March","2021","Other","Other",2,2,4,3,0
"March","2021","Other","Unknown",1,1,1,1,0
"March","2021","Unknown","Clear and sunny",250,476,651,321,2
"March","2021","Unknown","Overcast, cloudy but no precipitation",8,13,18,11,0
"March","2021","Unknown","Raining",8,16,22,9,0
"March","2021","Unknown","Snowing, not including drifting snow",14,25,31,16,0
"March","2021","Unknown","Freezing rain, sleet, hail",1,1,2,2,0
"March","2021","Unknown","Visibility limitation",2,4,24,2,0
"March","2021","Unknown","Strong wind",0,0,0,0,0
"March","2021","Unknown","Other",3,4,5,3,0
"March","2021","Unknown","Unknown",31,48,63,35,1
"April","2010","Straight and level","Clear and sunny",5071,9460,13886,6884,56
"April","2010","Straight and level","Overcast, cloudy but no precipitation",599,1103,1585,801,8
"April","2010","Straight and level","Raining",563,1020,1553,792,5
"April","2010","Straight and level","Snowing, not including drifting snow",154,347,517,222,4
"April","2010","Straight and level","Freezing rain, sleet, hail",20,26,42,28,0
"April","2010","Straight and level","Visibility limitation",32,55,84,46,1
"April","2010","Straight and level","Strong wind",34,45,72,41,0
"April","2010","Straight and level","Other",14,39,46,18,0
"April","2010","Straight and level","Unknown",34,61,88,39,0
"April","2010","Straight with gradient","Clear and sunny",508,968,1433,719,5
"April","2010","Straight with gradient","Overcast, cloudy but no precipitation",108,191,300,146,2
"April","2010","Straight with gradient","Raining",91,168,245,120,2
"April","2010","Straight with gradient","Snowing, not including drifting snow",18,27,38,22,0
"April","2010","Straight with gradient","Freezing rain, sleet, hail",3,5,8,4,0
"April","2010","Straight with gradient","Visibility limitation",1,2,5,1,0
"April","2010","Straight with gradient","Strong wind",3,7,10,6,0
"April","2010","Straight with gradient","Other",1,2,4,1,0
"April","2010","Straight with gradient","Unknown",2,3,4,2,0
"April","2010","Curved and level","Clear and sunny",458,625,908,604,15
"April","2010","Curved and level","Overcast, cloudy but no precipitation",98,128,186,133,2
"April","2010","Curved and level","Raining",50,70,108,67,1
"April","2010","Curved and level","Snowing, not including drifting snow",22,26,48,40,1
"April","2010","Curved and level","Freezing rain, sleet, hail",2,2,7,3,0
"April","2010","Curved and level","Visibility limitation",5,6,12,9,0
"April","2010","Curved and level","Strong wind",1,1,2,1,1
"April","2010","Curved and level","Other",0,0,0,0,0
"April","2010","Curved and level","Unknown",5,8,11,6,0
"April","2010","Curved with gradient","Clear and sunny",183,244,373,238,10
"April","2010","Curved with gradient","Overcast, cloudy but no precipitation",66,98,133,80,1
"April","2010","Curved with gradient","Raining",40,57,87,54,1
"April","2010","Curved with gradient","Snowing, not including drifting snow",8,14,18,10,0
"April","2010","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"April","2010","Curved with gradient","Visibility limitation",4,5,8,6,0
"April","2010","Curved with gradient","Strong wind",0,0,0,0,0
"April","2010","Curved with gradient","Other",0,0,0,0,0
"April","2010","Curved with gradient","Unknown",2,5,12,8,0
"April","2010","Top of hill or gradient","Clear and sunny",83,139,193,101,2
"April","2010","Top of hill or gradient","Overcast, cloudy but no precipitation",18,29,44,26,0
"April","2010","Top of hill or gradient","Raining",10,15,30,11,0
"April","2010","Top of hill or gradient","Snowing, not including drifting snow",9,15,27,15,0
"April","2010","Top of hill or gradient","Freezing rain, sleet, hail",1,1,2,1,0
"April","2010","Top of hill or gradient","Visibility limitation",3,5,7,3,0
"April","2010","Top of hill or gradient","Strong wind",1,2,3,1,0
"April","2010","Top of hill or gradient","Other",0,0,0,0,0
"April","2010","Top of hill or gradient","Unknown",1,1,1,1,0
"April","2010","Bottom of hill or gradient","Clear and sunny",57,85,115,66,6
"April","2010","Bottom of hill or gradient","Overcast, cloudy but no precipitation",17,28,40,19,0
"April","2010","Bottom of hill or gradient","Raining",6,11,17,8,1
"April","2010","Bottom of hill or gradient","Snowing, not including drifting snow",7,10,14,12,0
"April","2010","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"April","2010","Bottom of hill or gradient","Visibility limitation",2,2,3,2,0
"April","2010","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"April","2010","Bottom of hill or gradient","Other",0,0,0,0,0
"April","2010","Bottom of hill or gradient","Unknown",0,0,0,0,0
"April","2010","Other","Clear and sunny",10,11,19,13,0
"April","2010","Other","Overcast, cloudy but no precipitation",2,3,3,2,0
